Vector size,Bubble sort reads,Bubble sort writes,Bubble sort execution time (s),Heap sort reads,Heap sort writes,Heap sort execution time (s),Insertion sort Reads,Insertion sort writes,Insertion sort execution time (s),Selection sort reads,Selection sort writes,Selection sort execution time (s)
6300,72926019,34067691,1.46762,20671334,9308286,0.420856,34092843,11368495,0.542347,39702597,18897,0.134972,
6200,70251605,32601915,1.40969,20307769,9200659,0.418924,32626667,10879703,0.517825,38452397,18597,0.127904,
6100,67608093,31098915,1.33991,19939568,9094500,0.412194,31123267,10378503,0.490956,37222197,18297,0.122907,
6000,64944952,29580594,1.29318,19608814,9036020,0.419513,29604546,9872196,0.465942,36011997,17997,0.122241,
5900,62528969,28304751,1.22504,19007062,8749500,0.399876,28328303,9446715,0.44455,34821797,17697,0.117695,
5800,60254037,27152007,1.1933,18414007,8446041,0.385716,27175159,9062267,0.426771,33651597,17397,0.108676,
5700,58296621,26347413,1.15763,17729790,8067520,0.368856,26370165,8793869,0.413885,32501397,17097,0.10736,
5600,56397924,25513434,1.10888,17194453,7815141,0.358934,25535786,8515676,0.400815,31371197,16797,0.106188,
5500,54218338,24365088,1.05848,16774802,7655934,0.349068,24387040,8132694,0.38165,30260997,16497,0.100607,
5400,52485985,23707767,1.01655,16153919,7303601,0.324082,23729319,7913387,0.372927,29170797,16197,0.09855,
5300,51056181,23308461,1.00051,15107739,6727579,0.301829,23329613,7780085,0.365735,28100597,15897,0.09285,
5200,48903679,22181919,0.968618,14717757,6592877,0.301344,22202671,7404371,0.348119,27050397,15597,0.091844,
5100,47001820,21340902,0.929117,14175122,6308590,0.298508,21361254,7123832,0.340782,26020197,15297,0.086049,
5000,45279854,20673606,0.903493,13516444,5934896,0.267678,20693558,6901200,0.325048,25009997,14997,0.085062,
4900,43658311,19927263,0.843129,12925784,5659576,0.256826,19946815,6652219,0.318122,24019797,14697,0.084011,
4800,41499183,18768135,0.806087,12709386,5638912,0.258787,18787287,6265643,0.294394,23049597,14397,0.080163,
4700,39968516,18105528,0.771948,12116916,5323228,0.239333,18124280,6044574,0.288016,22099397,14097,0.075708,
4600,38302950,17338956,0.7133,11523438,5042156,0.221426,17357308,5788850,0.270963,21169197,13797,0.072891,
4500,36341944,16271586,0.676364,11264801,4959297,0.221561,16289538,5432860,0.254565,20258997,13497,0.077976,
4400,34358579,15118239,0.627288,11048012,4913848,0.217275,15135791,5048211,0.236646,19368797,13197,0.066386,
4300,32528034,14124990,0.584892,10710223,4766653,0.208684,14142142,4716928,0.221934,18498597,12897,0.062491,
4200,30520452,13003332,0.544433,10395946,4615814,0.201109,13020084,4342842,0.203571,17648397,12597,0.060007,
4100,28582682,11974362,0.511946,10172697,4560061,0.196712,11990714,3999652,0.18686,16818197,12297,0.057495,
4000,27095538,11218218,0.480424,9939784,4501394,0.196381,11234170,3747404,0.175093,16007997,11997,0.054523,
3900,25607653,10478559,0.466468,9701571,4444769,0.190239,10494111,3500651,0.166676,15217797,11697,0.054202,
3800,24131109,9754689,0.418989,9417354,4346970,0.194362,9769841,3259161,0.152796,14447597,11397,0.049136,
3700,22630743,8987499,0.38293,9111713,4243215,0.189557,9002251,3003231,0.141154,13697397,11097,0.046955,
3600,21389089,8452995,0.356282,8669692,4003786,0.177321,8467347,2824863,0.132556,12967197,10797,0.044133,
3500,19703705,7839747,0.331355,8334474,3869208,0.171339,7853699,2620247,0.123838,12256997,10497,0.042375,
3400,18605055,7317297,0.313838,7981287,3710279,0.17034,7330849,2445897,0.113537,11566797,10197,0.039219,
3300,17730247,7018689,0.294896,7556339,3488501,0.157147,7031841,2346161,0.110105,10896597,9897,0.037083,
3200,17109185,6973827,0.297389,7008440,3152850,0.141481,6986579,2331007,0.109499,10246397,9597,0.035076,
3100,16472589,6913431,0.290362,6419436,2809962,0.125296,6925783,2310675,0.108125,9616197,9297,0.032838,
3000,15489846,6507366,0.271867,5893298,2533670,0.114994,6519318,2175120,0.1026,9005997,8997,0.031161,
2900,14146880,5768172,0.242973,5620030,2410710,0.10801,5779724,1928522,0.093488,8415797,8697,0.030077,
2800,13089477,5262579,0.220871,5345918,2294934,0.104435,5273731,1759791,0.085209,7845597,8397,0.027631,
2700,12062365,4905747,0.207869,5022296,2132536,0.095817,4916499,1640647,0.079548,7295397,8097,0.02591,
2600,10837172,4295532,0.181227,4825649,2088531,0.092851,4305884,1437042,0.068997,6765197,7797,0.023785,
2500,9792853,3751923,0.155931,4609227,2028269,0.089138,3761875,1255639,0.06044,6254997,7497,0.02205,
2400,8921757,3289827,0.142825,4394901,1972641,0.087758,3299379,1101407,0.054292,5764797,7197,0.020419,
2300,8021438,2798508,0.123902,4222467,1961537,0.086917,2807660,937434,0.045548,5294597,6897,0.018822,
2200,7083547,2269617,0.103423,4038689,1946491,0.085717,2278369,760937,0.03697,4844397,6597,0.017408,
2100,5763028,1776978,0.08105,3816847,1906989,0.083039,1785330,596524,0.029089,4414197,6297,0.016115,
2000,5451116,1755066,0.079531,3384952,1685754,0.072907,1763018,589020,0.028811,4003997,5997,0.014278,
1900,5136597,1730547,0.079758,2908789,1448087,0.066333,1738099,580647,0.028862,3613797,5697,0.012919,
1800,4813120,1697070,0.077099,2523578,1255406,0.057317,1704222,569288,0.028242,3243597,5397,0.011712,
1700,4485785,1659735,0.074259,2103549,1050801,0.047798,1666487,556643,0.027464,2893397,5097,0.010408,
1600,4085097,1549047,0.070477,1805026,892646,0.039534,1555399,519547,0.025641,2563197,4797,0.009248,
1500,3394836,1258896,0.056663,1583658,802556,0.036331,1264848,422630,0.020755,2252997,4497,0.008152,
1400,2742152,1153824,0.050841,1249725,633685,0.028716,1159376,387406,0.018951,1962797,4197,0.007088,
1300,2499760,1069632,0.046348,975133,495031,0.022078,1074784,359142,0.017222,1692597,3897,0.006233,
1200,2269293,997365,0.043844,784576,391304,0.017914,1002117,334853,0.016107,1442397,3597,0.005418,
1100,2047112,933384,0.039764,632952,307534,0.014053,937736,313326,0.015121,1212197,3297,0.004564,
1000,1818871,863343,0.036919,467992,215326,0.009973,867295,289779,0.013978,1001997,2997,0.003832,
900,1561194,763866,0.032279,386087,180305,0.008299,767418,256420,0.012354,811797,2697,0.003129,
800,1235288,619650,0.025688,291062,135402,0.006372,622802,208148,0.009793,641597,2397,0.002591,
700,941238,459420,0.019785,223098,103910,0.004954,462172,154538,0.007395,491397,2097,0.001991,
600,680359,329889,0.01397,170039,80727,0.003947,332241,111161,0.00532,361197,1797,0.001415,
500,494522,247374,0.010142,119241,51255,0.002536,249326,83456,0.003895,250997,1497,0.001017,
400,329454,170556,0.007153,82144,28512,0.001547,172108,57650,0.002719,160797,1197,0.000671,
300,163794,76164,0.003146,67005,26799,0.0014,77316,25986,0.001262,90597,897,0.00039,
200,66524,28704,0.001232,34196,16162,0.000777,29458,9966,0.000467,40397,597,0.000187,
100,16947,7047,0.000306,11287,4625,0.000223,7407,2547,0.000117,10197,297,5.8e-05,
